location_id,location_zip_code,location_city,location_state,,
38,83050,sao jose dos pinhais,PR,,83050|sao jose dos pinhais|PR
39,03445,sao paulo,SP,,03445|sao paulo|SP
40,04133,sao paulo,SP,,04133|sao paulo|SP
41,72233,brasilia,DF,,72233|brasilia|DF
42,70645,brasilia,DF,,70645|brasilia|DF
43,88730,sao ludgero,SC,,88730|sao ludgero|SC
44,88075,sao jose,SC,,88075|sao jose|SC
45,13416,piracicaba,SP,,13416|piracicaba|SP
46,90850,porto alegre,RS,,90850|porto alegre|RS
47,37584,congonhal,MG,,37584|congonhal|MG
48,31950,belo horizonte,MG,,31950|belo horizonte|MG
49,31555,belo horizonte,MG,,31555|belo horizonte|MG
50,09251,santo andre,SP,,09251|santo andre|SP
51,04705,sao paulo,SP,,04705|sao paulo|SP
52,06144,osasco,SP,,06144|osasco|SP
53,13270,valinhos,SP,,13270|valinhos|SP
54,89214,joinville,SC,,89214|joinville|SC
55,11446,guaruja,SP,,11446|guaruja|SP
56,28990,saquarema,RJ,,28990|saquarema|RJ
57,88390,barra velha,SC,,88390|barra velha|SC
58,25730,petropolis,RJ,,25730|petropolis|RJ
59,95500,santo antonio da patrulha,RS,,95500|santo antonio da patrulha|RS
60,84010,ponta grossa,PR,,84010|ponta grossa|PR
61,06544,santana de parnaiba,SP,,06544|santana de parnaiba|SP
62,09121,santo andre,SP,,09121|santo andre|SP
63,13568,sao carlos,SP,,13568|sao carlos|SP
64,06056,osasco,SP,,06056|osasco|SP
65,14940,ibitinga,SP,,14940|ibitinga|SP
66,05741,sao paulo,SP,,05741|sao paulo|SP
67,83010,sao jose dos pinhais,PR,,83010|sao jose dos pinhais|PR
68,03702,sao paulo,SP,,03702|sao paulo|SP
69,06429,barueri,SP,,06429|barueri|SP
70,06192,osasco,SP,,06192|osasco|SP
71,95076,caxias do sul,SP,,95076|caxias do sul|SP
72,03569,sao paulo,SP,,03569|sao paulo|SP
73,89207,joinville,SC,,89207|joinville|SC
74,38440,araguari,MG,,38440|araguari|MG
75,32180,contagem,MG,,32180|contagem|MG
76,89258,jaragua do sul,SC,,89258|jaragua do sul|SC
77,14940,ibitinga,SP,,14940|ibitinga|SP
78,09715,sao bernardo do campo,SP,,09715|sao bernardo do campo|SP
79,88501,lages - sc,SC,,88501|lages - sc|SC
80,95711,bento goncalves,RS,,95711|bento goncalves|RS
81,15805,catanduva,SP,,15805|catanduva|SP
82,09400,ribeirao pires,SP,,09400|ribeirao pires|SP
83,04726,sao paulo,SP,,04726|sao paulo|SP
84,14882,jaboticabal,SP,,14882|jaboticabal|SP
85,19830,echapora,SP,,19830|echapora|SP
86,06713,cotia,SP,,06713|cotia|SP
87,89160,rio do sul,SC,,89160|rio do sul|SC
88,04275,sao paulo,SP,,04275|sao paulo|SP
89,18040,sorocaba,SP,,18040|sorocaba|SP
90,21235,rio de janeiro,RJ,,21235|rio de janeiro|RJ
91,14850,pradopolis,SP,,14850|pradopolis|SP
92,22420,rio de janeiro,RJ,,22420|rio de janeiro|RJ
93,01125,sao paulo,SP,,01125|sao paulo|SP
94,24813,itaborai,RJ,,24813|itaborai|RJ
95,05786,sao paulo,SP,,05786|sao paulo|SP
96,15137,mirassol,SP,,15137|mirassol|SP
97,09190,santo andre,SP,,09190|santo andre|SP
98,16200,birigui,SP,,16200|birigui|SP
99,03569,sao paulo,SP,,03569|sao paulo|SP
100,31730,belo horizonte,MG,,31730|belo horizonte|MG
101,20785,rio de janeiro,RJ,,20785|rio de janeiro|RJ
102,20060,rio de janeiro,RJ,,20060|rio de janeiro|RJ
103,14940,ibitinga,SP,,14940|ibitinga|SP
104,12401,sao paulo,SP,,12401|sao paulo|SP
105,01425,sao paulo,SP,,01425|sao paulo|SP
106,19803,assis,SP,,19803|assis|SP
107,13820,jaguariuna,SP,,13820|jaguariuna|SP
108,14801,araraquara,SP,,14801|araraquara|SP
109,27963,macae,RJ,,27963|macae|RJ
110,13320,salto,SP,,13320|salto|SP
111,13504,rio claro,SP,,13504|rio claro|SP
112,86039,londrina,PR,,86039|londrina|PR
113,05101,sao paulo,SP,,05101|sao paulo|SP
114,14010,ribeirao preto,SP,,14010|ribeirao preto|SP
115,21210,rio de janeiro,RN,,21210|rio de janeiro|RN
116,37410,tres coracoes,MG,,37410|tres coracoes|MG
117,04248,sao paulo,SP,,04248|sao paulo|SP
118,15190,nhandeara,SP,,15190|nhandeara|SP
119,14940,ibitinga,SP,,14940|ibitinga|SP
120,03514,sao paulo,SP,,03514|sao paulo|SP
121,71070,brasilia,DF,,71070|brasilia|DF
122,06465,barueri,SP,,06465|barueri|SP
123,01044,sao paulo,SP,,01044|sao paulo|SP
124,88870,orleans,SC,,88870|orleans|SC
125,70384,brasilia,DF,,70384|brasilia|DF
126,02310,sao paulo,SP,,02310|sao paulo|SP
127,02016,sao paulo,SP,,02016|sao paulo|SP
128,78095,cuiaba,MT,,78095|cuiaba|MT
129,13575,sao carlos,SP,,13575|sao carlos|SP
130,01040,sao paulo,SP,,01040|sao paulo|SP
131,03322,sao paulo,SP,,03322|sao paulo|SP
132,20261,rio de janeiro,RJ,,20261|rio de janeiro|RJ
133,85830,formosa do oeste,PR,,85830|formosa do oeste|PR
134,23550,rio de janeiro,RJ,,23550|rio de janeiro|RJ
135,11085,santos,SP,,11085|santos|SP
136,03417,sao paulo,SP,,03417|sao paulo|SP
137,76500,santa terezinha de goias,GO,,76500|santa terezinha de goias|GO
138,81210,curitiba,PR,,81210|curitiba|PR
139,08260,sao paulo,SP,,08260|sao paulo|SP
140,95995,arvorezinha,RS,,95995|arvorezinha|RS
141,04674,sao paulo,SP,,04674|sao paulo|SP
142,14020,ribeirao preto,SP,,14020|ribeirao preto|SP
143,36525,guiricema,MG,,36525|guiricema|MG
144,95072,caxias do sul,RS,,95072|caxias do sul|RS
145,55004,caruaru,PE,,55004|caruaru|PE
146,80045,curitiba,PR,,80045|curitiba|PR
147,14401,franca,SP,,14401|franca|SP
148,81030,curitiba,PR,,81030|curitiba|PR
149,40243,salvador,BA,,40243|salvador|BA
150,09951,diadema,SP,,09951|diadema|SP
151,08573,itaquaquecetuba,SP,,08573|itaquaquecetuba|SP
152,18682,lencois paulista,SP,,18682|lencois paulista|SP
153,07091,guarulhos,SP,,07091|guarulhos|SP
154,06341,carapicuiba,SP,,06341|carapicuiba|SP
155,76400,uruacu,GO,,76400|uruacu|GO
156,88301,itajai,SC,,88301|itajai|SC
157,03280,sao paulo,SP,,03280|sao paulo|SP
158,01545,sao paulo,SP,,01545|sao paulo|SP
159,01026,sao paulo,SP,,01026|sao paulo|SP
160,80620,curitiba,PR,,80620|curitiba|PR
161,87900,loanda,PR,,87900|loanda|PR
162,03186,sao paulo,SP,,03186|sao paulo|SP
163,19400,sao paulo,SP,,19400|sao paulo|SP
164,02839,sao paulo,SP,,02839|sao paulo|SP
165,87014,maringa,PR,,87014|maringa|PR
166,01207,sao paulo,SP,,01207|sao paulo|SP
167,01411,sao paulo,SP,,01411|sao paulo|SP
168,30190,belo horizonte,MG,,30190|belo horizonte|MG
169,08502,ferraz de vasconcelos,SP,,08502|ferraz de vasconcelos|SP
170,01541,sao paulo,SP,,01541|sao paulo|SP
171,13481,limeira,SP,,13481|limeira|SP
172,11040,santos,SP,,11040|santos|SP
173,06436,barueri,SP,,06436|barueri|SP
174,02310,sao paulo,SP,,02310|sao paulo|SP
175,35530,claudio,MG,,35530|claudio|MG
176,14080,ribeirao preto,SP,,14080|ribeirao preto|SP
177,24355,niteroi,RJ,,24355|niteroi|RJ
178,17700,osvaldo cruz,SP,,17700|osvaldo cruz|SP
179,06380,carapicuiba,SP,,06380|carapicuiba|SP
180,06016,osasco,SP,,06016|osasco|SP
181,24451,sao goncalo,RJ,,24451|sao goncalo|RJ
182,78820,jaciara,MT,,78820|jaciara|MT
183,88330,balenario camboriu,SC,,88330|balenario camboriu|SC
184,04009,sao paulo,SP,,04009|sao paulo|SP
185,89120,timbo,SC,,89120|timbo|SC
186,14075,ribeirao preto,SP,,14075|ribeirao preto|SP
187,05424,sao paulo,SP,,05424|sao paulo|SP
188,99730,jacutinga,RS,,99730|jacutinga|RS
189,60440,fortaleza,CE,,60440|fortaleza|CE
190,07242,guarulhos,SP,,07242|guarulhos|SP
191,07051,guarulhos,SP,,07051|guarulhos|SP
192,08517,ferraz de  vasconcelos,SP,,08517|ferraz de  vasconcelos|SP
193,16800,mirandopolis,SP,,16800|mirandopolis|SP
194,89228,joinville,SC,,89228|joinville|SC
195,30421,belo horizonte,MG,,30421|belo horizonte|MG
196,17056,bauru,SP,,17056|bauru|SP
197,12308,jacarei,SP,,12308|jacarei|SP
198,13304,itu,SP,,13304|itu|SP
199,85301,laranjeiras do sul,SP,,85301|laranjeiras do sul|SP
200,03554,sao paulo,SP,,03554|sao paulo|SP
201,89560,videira,SC,,89560|videira|SC
202,88058,florianopolis,SC,,88058|florianopolis|SC
203,06853,itapecerica da serra,SP,,06853|itapecerica da serra|SP
204,58280,mamanguape,PB,,58280|mamanguape|PB
205,08490,sao paulo,SP,,08490|sao paulo|SP
206,35430,ponte nova,MG,,35430|ponte nova|MG
207,87360,goioere,SP,,87360|goioere|SP
208,17280,pederneiras,SP,,17280|pederneiras|SP
209,06653,itapevi,SP,,06653|itapevi|SP
210,74563,goiania,GO,,74563|goiania|GO
211,04821,sao paulo,SP,,04821|sao paulo|SP
212,21820,rio de janeiro,RJ,,21820|rio de janeiro|RJ
213,01026,sao paulo,SP,,01026|sao paulo|SP
214,03308,sao paulo,SP,,03308|sao paulo|SP
215,95070,caxias do sul,RS,,95070|caxias do sul|RS
216,09640,sao bernardo do campo,SP,,09640|sao bernardo do campo|SP
217,58400,campina grande,PB,,58400|campina grande|PB
218,93608,estancia velha,RS,,93608|estancia velha|RS
219,27525,resende,RJ,,27525|resende|RJ
220,89251,jaragua do sul,SC,,89251|jaragua do sul|SC
221,02215,sao paulo,SP,,02215|sao paulo|SP
222,05524,sao paulo,SP,,05524|sao paulo|SP
223,22790,rio de janeiro,RJ,,22790|rio de janeiro|RJ
224,08041,sao paulo,SP,,08041|sao paulo|SP
225,05715,sao paulo,SP,,05715|sao paulo|SP
226,88032,florianopolis,SC,,88032|florianopolis|SC
227,18055,sorocaba,SP,,18055|sorocaba|SP
228,02112,sao paulo,SP,,02112|sao paulo|SP
229,14075,ribeirao preto,SP,,14075|ribeirao preto|SP
230,18048,sorocaba,SP,,18048|sorocaba|SP
231,09336,maua,SP,,09336|maua|SP
232,17030,bauru,SP,,17030|bauru|SP
233,17052,bauru,SP,,17052|bauru|SP
234,30620,belo horizonte,MG,,30620|belo horizonte|MG
235,13327,salto,SP,,13327|salto|SP
236,74343,goiania,GO,,74343|goiania|GO
237,35300,caratinga,MG,,35300|caratinga|MG
238,15350,auriflama/sp,SP,,15350|auriflama/sp|SP
239,21240,rio de janeiro,RJ,,21240|rio de janeiro|RJ
240,14407,franca,SP,,14407|franca|SP
241,16500,cafelandia,SP,,16500|cafelandia|SP
242,02518,sao paulo,SP,,02518|sao paulo|SP
243,14050,ribeirao preto,SP,,14050|ribeirao preto|SP
244,88730,sao ludgero,SC,,88730|sao ludgero|SC
245,36502,uba,MG,,36502|uba|MG
246,09751,sao bernardo do campo,SP,,09751|sao bernardo do campo|SP
247,03407,sao paulo / sao paulo,SP,,03407|sao paulo / sao paulo|SP
248,14940,ibitinga,SP,,14940|ibitinga|SP
249,87035,maringa,PR,,87035|maringa|PR
250,15062,sao jose do rio preto,SP,,15062|sao jose do rio preto|SP
251,13064,campinas,SP,,13064|campinas|SP
252,21020,rio de janeiro,RJ,,21020|rio de janeiro|RJ
253,13660,porto ferreira,SP,,13660|porto ferreira|SP
254,95660,tres coroas,RS,,95660|tres coroas|RS
255,09080,santo andre,SP,,09080|santo andre|SP
256,89031,blumenau,SC,,89031|blumenau|SC
257,09110,santo andre,SP,,09110|santo andre|SP
258,09230,santo andre,SP,,09230|santo andre|SP
259,03951,sao paulo,SP,,03951|sao paulo|SP
260,03172,sao paulo,SP,,03172|sao paulo|SP
261,03334,sao paulo,SP,,03334|sao paulo|SP
262,89070,blumenau,SC,,89070|blumenau|SC
263,08773,mogi das cruzes,SP,,08773|mogi das cruzes|SP
264,11013,santos,SP,,11013|santos|SP
265,06286,osasco,SP,,06286|osasco|SP
266,15155,jaci,SP,,15155|jaci|SP
267,35530,claudio,MG,,35530|claudio|MG
268,74045,goiania,GO,,74045|goiania|GO
269,18500,laranjal paulista,SP,,18500|laranjal paulista|SP
270,18048,sorocaba,SP,,18048|sorocaba|SP
271,01126,sao paulo,SP,,01126|sao paulo|SP
272,13478,americana,SP,,13478|americana|SP
273,01303,sao paulo,SP,,01303|sao paulo|SP
274,02739,sao paulo,SP,,02739|sao paulo|SP
275,20921,rio de janeiro,RJ,,20921|rio de janeiro|RJ
276,86170,sertanopolis,SP,,86170|sertanopolis|SP
277,14940,ibitinga,SP,,14940|ibitinga|SP
278,86808,apucarana,PR,,86808|apucarana|PR
279,15046,sao jose do rio preto,SP,,15046|sao jose do rio preto|SP
280,22230,rio de janeiro,RJ,,22230|rio de janeiro|RJ
281,87035,maringa,PR,,87035|maringa|PR
282,04102,sao paulo,SP,,04102|sao paulo|SP
283,07052,guarulhos,SP,,07052|guarulhos|SP
284,16301,penapolis,SP,,16301|penapolis|SP
285,24020,niteroi,RJ,,24020|niteroi|RJ
286,89204,joinville,SC,,89204|joinville|SC
287,83408,colombo,PR,,83408|colombo|PR
288,11450,vicente de carvalho,SP,,11450|vicente de carvalho|SP
289,26562,mesquita,RJ,,26562|mesquita|RJ
290,86010,londrina,PR,,86010|londrina|PR
291,02051,sao pauo,SP,,02051|sao pauo|SP
292,88056,florianopolis,SC,,88056|florianopolis|SC
293,30550,belo horizonte,MG,,30550|belo horizonte|MG
294,02820,sao paulo,SP,,02820|sao paulo|SP
295,85802,cascavel,PR,,85802|cascavel|PR
296,83830,fazenda rio grande,PR,,83830|fazenda rio grande|PR
297,04508,sao paulo,SP,,04508|sao paulo|SP
298,06775,taboao da serra,SP,,06775|taboao da serra|SP
299,01550,sao paulo,SP,,01550|sao paulo|SP
300,22783,rio de janeiro,RJ,,22783|rio de janeiro|RJ
301,81070,curitiba,PR,,81070|curitiba|PR
302,04716,sao paulo,SP,,04716|sao paulo|SP
303,12233,sao jose dos campos,SP,,12233|sao jose dos campos|SP
304,07084,guarulhos,SP,,07084|guarulhos|SP
305,03384,sao paulo,SP,,03384|sao paulo|SP
306,85903,toledo,PR,,85903|toledo|PR
307,82510,curitiba,PR,,82510|curitiba|PR
308,15081,sao jose do rio preto,SP,,15081|sao jose do rio preto|SP
309,08411,sao paulo,SP,,08411|sao paulo|SP
310,17047,bauru,SP,,17047|bauru|SP
311,11045,santos,SP,,11045|santos|SP
312,85960,marechal candido rondon,SP,,85960|marechal candido rondon|SP
313,80010,curitiba,PR,,80010|curitiba|PR
314,08710,mogi das cruzes,SP,,08710|mogi das cruzes|SP
315,91130,porto alegre,RS,,91130|porto alegre|RS
316,12238,sao jose dos campos,SP,,12238|sao jose dos campos|SP
317,06236,osasco,SP,,06236|osasco|SP
318,13203,jundiai,SP,,13203|jundiai|SP
319,83800,mandirituba,PR,,83800|mandirituba|PR
320,03551,sao paulo,SP,,03551|sao paulo|SP
321,08655,suzano,SP,,08655|suzano|SP
322,33200,vespasiano,MG,,33200|vespasiano|MG
323,80040,curitiba,PR,,80040|curitiba|PR
324,20735,rio de janeiro,RJ,,20735|rio de janeiro|RJ
325,89031,blumenau,SC,,89031|blumenau|SC
326,01417,sao paulo,SP,,01417|sao paulo|SP
327,98780,santa rosa,RS,,98780|santa rosa|RS
328,15015,sao jose do rio preto,SP,,15015|sao jose do rio preto|SP
329,14600,sao joaquim da barra,SP,,14600|sao joaquim da barra|SP
330,05125,sao paulo,SP,,05125|sao paulo|SP
331,81050,curitiba,PR,,81050|curitiba|PR
332,13830,santo antonio de posse,SP,,13830|santo antonio de posse|SP
333,01212,sao paulo,SP,,01212|sao paulo|SP
334,97502,uruguaiana,RS,,97502|uruguaiana|RS
335,80215,curitiba,PR,,80215|curitiba|PR
336,06703,cotia,SP,,06703|cotia|SP
337,13480,limeira,SP,,13480|limeira|SP
338,37400,campanha,MG,,37400|campanha|MG
339,14940,ibitinga,SP,,14940|ibitinga|SP
340,04811,sao paulo,SP,,04811|sao paulo|SP
341,75640,piracanjuba,GO,,75640|piracanjuba|GO
342,03306,sao paulo,SP,,03306|sao paulo|SP
343,95034,caxias do sul,RS,,95034|caxias do sul|RS
344,30640,belo horizonte,MG,,30640|belo horizonte|MG
345,89701,concordia,SC,,89701|concordia|SC
346,02880,sao paulo,SP,,02880|sao paulo|SP
347,03688,sao paulo,SP,,03688|sao paulo|SP
348,74043,goiania,GO,,74043|goiania|GO
349,37540,santa rita do sapucai,MG,,37540|santa rita do sapucai|MG
350,81925,curitiba,PR,,81925|curitiba|PR
351,06246,osasco,SP,,06246|osasco|SP
352,80510,curitiba,PR,,80510|curitiba|PR
353,80240,curitiba,PR,,80240|curitiba|PR
354,14780,barretos,SP,,14780|barretos|SP
355,13330,indaiatuba,SP,,13330|indaiatuba|SP
356,26525,nilopolis,RJ,,26525|nilopolis|RJ
357,09380,maua,SP,,09380|maua|SP
358,17580,pompeia,SP,,17580|pompeia|SP
359,44895,barro alto,BA,,44895|barro alto|BA
360,13840,mogi guacu,SP,,13840|mogi guacu|SP
361,04557,saÌƒo paulo,SP,,04557|saÌƒo paulo|SP
362,04311,sao paulo,SP,,04311|sao paulo|SP
363,11702,praia grande,SP,,11702|praia grande|SP
364,14406,franca,SP,,14406|franca|SP
365,22783,rio de janeiro,SP,,22783|rio de janeiro|SP
366,89128,luiz alves,SC,,89128|luiz alves|SC
367,02036,sao paulo,SP,,02036|sao paulo|SP
368,06038,osasco,SP,,06038|osasco|SP
369,88351,brusque,SC,,88351|brusque|SC
370,88804,criciuma,SC,,88804|criciuma|SC
371,05729,sao paulo,SP,,05729|sao paulo|SP
372,06519,santana de parnaiba,SP,,06519|santana de parnaiba|SP
373,06016,osasco,SP,,06016|osasco|SP
374,89222,joinville,SC,,89222|joinville|SC
375,02252,sao paulo,SP,,02252|sao paulo|SP
376,07179,guarulhos,SP,,07179|guarulhos|SP
377,31050,belo horizonte,MG,,31050|belo horizonte|MG
378,13480,limeira,SP,,13480|limeira|SP
379,15805,catanduva,SP,,15805|catanduva|SP
380,89052,blumenau,SC,,89052|blumenau|SC
381,31255,belo horizonte,MG,,31255|belo horizonte|MG
382,15704,jales,SP,,15704|jales|SP
383,20270,rio de janeiro,RJ,,20270|rio de janeiro|RJ
384,86060,londrina,PR,,86060|londrina|PR
385,12944,atibaia,SP,,12944|atibaia|SP
386,69900,rio branco,AC,,69900|rio branco|AC
387,86046,londrina,PR,,86046|londrina|PR
388,27321,barra mansa,RJ,,27321|barra mansa|RJ
389,05632,sao paulo,SP,,05632|sao paulo|SP
390,03161,sao paulo,SP,,03161|sao paulo|SP
391,04782,sao paulo,SP,,04782|sao paulo|SP
392,14403,franca,SP,,14403|franca|SP
393,87013,maringa,PR,,87013|maringa|PR
394,09405,ribeirao pires,SP,,09405|ribeirao pires|SP
395,02310,sao paulo,SP,,02310|sao paulo|SP
396,04363,sao paulo,SP,,04363|sao paulo|SP
397,01539,sao paulo,SP,,01539|sao paulo|SP
398,13560,sao carlos,SP,,13560|sao carlos|SP
399,02238,sao paulo,SP,,02238|sao paulo|SP
400,15055,sao jose do rio preto,SP,,15055|sao jose do rio preto|SP
401,82220,curitiba,PR,,82220|curitiba|PR
402,17520,marilia,SP,,17520|marilia|SP
403,03060,sao paulo,SP,,03060|sao paulo|SP
404,09443,ribeirao pires,SP,,09443|ribeirao pires|SP
405,14096,ribeirao preto,SP,,14096|ribeirao preto|SP
406,48602,bahia,BA,,48602|bahia|BA
407,91740,porto alegre,RS,,91740|porto alegre|RS
408,86047,londrina,PR,,86047|londrina|PR
409,85807,cascavel,PR,,85807|cascavel|PR
410,12020,taubate,SP,,12020|taubate|SP
411,85802,cascavael,PR,,85802|cascavael|PR
412,01320,sao paulo,SP,,01320|sao paulo|SP
413,12250,monteiro lobato,SP,,12250|monteiro lobato|SP
414,81250,curitiba,PR,,81250|curitiba|PR
415,29138,viana,ES,,29138|viana|ES
416,07145,guarulhos,SP,,07145|guarulhos|SP
417,88107,sao jose,SC,,88107|sao jose|SC
418,25850,paraiba do sul,RJ,,25850|paraiba do sul|RJ
419,13730,mococa,SP,,13730|mococa|SP
420,18130,sao roque,SP,,18130|sao roque|SP
421,37900,passos,MG,,37900|passos|MG
422,14940,ibitinga,SP,,14940|ibitinga|SP
423,85603,francisco beltrao,PR,,85603|francisco beltrao|PR
424,03821,sao paulo,SP,,03821|sao paulo|SP
425,36512,tocantins,SP,,36512|tocantins|SP
426,76400,uruacu,GO,,76400|uruacu|GO
427,87083,maringa,PR,,87083|maringa|PR
428,74473,goiania,GO,,74473|goiania|GO
429,21931,rio de janeiro,RJ,,21931|rio de janeiro|RJ
430,14055,ribeirao preto,SP,,14055|ribeirao preto|SP
431,88210,porto belo,SC,,88210|porto belo|SC
432,13105,campinas,SP,,13105|campinas|SP
433,26255,nova iguacu,RJ,,26255|nova iguacu|RJ
434,03343,sao paulo,SP,,03343|sao paulo|SP
435,17512,marilia,SP,,17512|marilia|SP
436,88820,icara,SC,,88820|icara|SC
437,03543,sao paulo,SP,,03543|sao paulo|SP
438,95910,lajeado,RS,,95910|lajeado|RS
439,03694,sao paulo,SP,,03694|sao paulo|SP
440,03029,sao paulo,SP,,03029|sao paulo|SP
441,37540,santa rita do sapucai,MG,,37540|santa rita do sapucai|MG
442,13042,campinas,SP,,13042|campinas|SP
443,01201,sao paulo,SP,,01201|sao paulo|SP
444,09230,santo andre,SP,,09230|santo andre|SP
445,88359,brusque,SC,,88359|brusque|SC
446,98920,horizontina,RS,,98920|horizontina|RS
447,04364,sao paulo,SP,,04364|sao paulo|SP
448,03416,sao paulo,SP,,03416|sao paulo|SP
449,09350,maua,SP,,09350|maua|SP
450,01214,sao paulo,SP,,01214|sao paulo|SP
451,02880,sao paulo,SP,,02880|sao paulo|SP
452,09220,santo andre,SP,,09220|santo andre|SP
453,18110,votorantim,SP,,18110|votorantim|SP
454,35530,claudio,MG,,35530|claudio|MG
455,93700,campo bom,RS,,93700|campo bom|RS
456,03659,sao paulo,SP,,03659|sao paulo|SP
457,01123,sao paulo,SP,,01123|sao paulo|SP
458,15910,monte alto,SP,,15910|monte alto|SP
459,03103,sao paulo,SP,,03103|sao paulo|SP
460,14078,ribeirao preto,SP,,14078|ribeirao preto|SP
461,15601,fernandopolis,SP,,15601|fernandopolis|SP
462,89041,blumenau,SC,,89041|blumenau|SC
463,17500,marilia,SP,,17500|marilia|SP
464,84010,ponta grossa,PR,,84010|ponta grossa|PR
465,07093,guarulhos,SP,,07093|guarulhos|SP
466,31560,belo horizonte,MG,,31560|belo horizonte|MG
467,13920,pedreira,SP,,13920|pedreira|SP
468,86800,apucarana,PR,,86800|apucarana|PR
469,07062,guarulhos,SP,,07062|guarulhos|SP
470,88351,brusque,SC,,88351|brusque|SC
471,08550,poa,SP,,08550|poa|SP
472,03471,sao paulo,SP,,03471|sao paulo|SP
473,87047,maringa,PR,,87047|maringa|PR
474,82040,curitiba,PR,,82040|curitiba|PR
475,15025,sao jose do rio preto,SP,,15025|sao jose do rio preto|SP
476,35500,divinopolis,MG,,35500|divinopolis|MG
477,13450,santa barbara dÂ´oeste,SP,,13450|santa barbara dÂ´oeste|SP
478,92025,canoas,RS,,92025|canoas|RS
479,13310,itu,SP,,13310|itu|SP
480,89217,joinville,SC,,89217|joinville|SC
481,13375,mombuca,SP,,13375|mombuca|SP
482,09628,sao bernardo do campo,SP,,09628|sao bernardo do campo|SP
483,06539,santana de parnaiba,SP,,06539|santana de parnaiba|SP
484,81350,curitiba,PR,,81350|curitiba|PR
485,86040,londrina,PR,,86040|londrina|PR
486,14405,franca,SP,,14405|franca|SP
487,35700,sete lagoas,MG,,35700|sete lagoas|MG
488,37165,campo do meio,MG,,37165|campo do meio|MG
489,85904,toledo,PR,,85904|toledo|PR
490,08780,mogi das cruzes,SP,,08780|mogi das cruzes|SP
491,13219,jundiai,SP,,13219|jundiai|SP
492,17509,marilia,SP,,17509|marilia|SP
493,60741,fortaleza,CE,,60741|fortaleza|CE
494,03311,sao paulo,SP,,03311|sao paulo|SP
495,13490,cordeiropolis,SP,,13490|cordeiropolis|SP
496,38410,uberlandia,MG,,38410|uberlandia|MG
497,75123,anapolis,GO,,75123|anapolis|GO
498,14092,ribeirao preto,SP,,14092|ribeirao preto|SP
499,15085,sao jose do rio preto,SP,,15085|sao jose do rio preto|SP
500,04578,sao paulo,SP,,04578|sao paulo|SP
501,91310,porto alegre,RS,,91310|porto alegre|RS
502,20756,rio de janeiro,RJ,,20756|rio de janeiro|RJ
503,01233,sao paulo,SP,,01233|sao paulo|SP
504,08223,sao paulo,SP,,08223|sao paulo|SP
505,04782,sao paulo,SP,,04782|sao paulo|SP
506,83402,colombo,PR,,83402|colombo|PR
507,09920,diadema,SP,,09920|diadema|SP
508,13419,piracicaba,SP,,13419|piracicaba|SP
509,20021,rio de janeiro,RJ,,20021|rio de janeiro|RJ
510,18072,sorocaba,SP,,18072|sorocaba|SP
511,13456,santa barbara d oeste,SP,,13456|santa barbara d oeste|SP
512,13920,pedreira,SP,,13920|pedreira|SP
513,86702,arapongas,PR,,86702|arapongas|PR
514,27277,volta redonda,SP,,27277|volta redonda|SP
515,13660,porto ferreira,SP,,13660|porto ferreira|SP
516,89030,blumenau,SC,,89030|blumenau|SC
517,06787,taboao da serra,SP,,06787|taboao da serra|SP
518,22790,04482255,RJ,,22790|04482255|RJ
